yardline,ep
1.0,1.0833019368515666
2.0,1.1366435055143742
3.0,1.1886293645797743
4.0,1.2393005597449351
5.0,1.288698136707025
6.0,1.3368631411632117
7.0,1.3838366188106637
8.0,1.4296596153465493
9.0,1.4743731764680366
10.0,1.5180183478722933
11.0,1.5606361752564883
12.0,1.6022677043177893
13.0,1.6429539807533649
14.0,1.6827360502603828
15.0,1.7216549585360112
16.0,1.7597517512774186
17.0,1.7970674741817732
18.0,1.833643172946243
19.0,1.869519893267996
20.0,1.9047386808442006
21.0,1.9393405813720253
22.0,1.9733666405486374
23.0,2.0068579040712056
24.0,2.0398554176368986
25.0,2.0724002269428836
26.0,2.1045333776863293
27.0,2.1362959155644043
28.0,2.1677288862742756
29.0,2.1988733355131123
30.0,2.229770308978083
31.0,2.2604608523663545
32.0,2.2909860113750957
33.0,2.321386831701475
34.0,2.3517043590426603
35.0,2.38197963909582
36.0,2.412253717558122
37.0,2.442567640126734
38.0,2.472962452498826
39.0,2.5034792003715642
40.0,2.5341589294421176
41.0,2.5650426854076542
42.0,2.5961715139653427
43.0,2.6275864608123505
44.0,2.659328571645846
45.0,2.6914388921629975
46.0,2.7239584680609736
47.0,2.7569283450369415
48.0,2.7903895687880707
49.0,2.824383185011528
50.0,2.858950239404482
51.0,2.8941317776641022
52.0,2.9299688454875548
53.0,2.966502488572009
54.0,3.0037737526146326
55.0,3.0418236833125945
56.0,3.080693326363062
57.0,3.1204237274632036
58.0,3.1610559323101874
59.0,3.202630986601182
60.0,3.2451899360333556
61.0,3.288773826303876
62.0,3.3334237031099105
63.0,3.379180612148629
64.0,3.4260855991171986
65.0,3.4741797097127876
66.0,3.5235039896325646
67.0,3.5740994845736975
68.0,3.6260072402333545
69.0,3.6792683023087043
70.0,3.7339237164969137
71.0,3.7900145284951523
72.0,3.8475817840005875
73.0,3.9066665287103874
74.0,3.967309808321721
75.0,4.029552668531755
76.0,4.09343615503766
77.0,4.159001313536601
78.0,4.226289189725749
79.0,4.295340829302271
80.0,4.366197277963336
81.0,4.438899581406109
82.0,4.5134887853277625
83.0,4.590005935425463
84.0,4.668492077396378
85.0,4.748988256937676
86.0,4.831535519746525
87.0,4.916174911520094
88.0,5.00294747795555
89.0,5.091894264750062
90.0,5.183056317600798
91.0,5.276474682204926
92.0,5.372190404259615
93.0,5.470244529462032
94.0,5.570678103509346
95.0,5.673532172098724
96.0,5.778847780927337
97.0,5.88666597569235
98.0,5.9970278020909324
99.0,6.109974305820252
